display_id,customer_id,branch_id,first_name,last_name,dob,age,gender,email,phone,address,account_open_date,customer_tenure_days,customer_segment,outlier_flag
80,80,QT0016,Kashish,Ganesan,1999-09-19,26,Male,watika63@example.com,7039580469,"H.No. 078, Balasubramanian Circle, Korba-827123",2017-04-26,3116,VIP,0
81,81,QT0016,Quincy,Oza,1984-11-03,41,Male,turvibajwa@example.com,7776797843,"H.No. 145, Ravel Ganj, Coimbatore-723240",2019-07-21,2300,VIP,0
82,82,QT0002,Charles,Salvi,1956-02-14,69,Female,modyeshana@example.org,8009095993,"H.No. 746, Wagle Circle, Barasat-978858",2015-06-10,3802,VIP,0
83,83,QT0017,Ishita,Sanghvi,1950-12-16,74,Male,ekbal79@example.net,8788594920,"H.No. 39, Chowdhury Nagar, Agra-334804",2009-10-29,5852,VIP,0
84,84,QT0001,Chakrika,Sawhney,2001-04-28,24,Male,deolfalan@example.com,7252967994,"04/64, Chand Zila, Kota-368970",2014-07-18,4129,VIP,0
85,85,QT0019,Jagdish,Balakrishnan,1989-06-02,36,Male,ikbal60@example.org,6596200283,"96/65, Vyas Street, Ramgarh-682273",2006-03-18,7173,VIP,0
86,86,QT0008,Zansi,Parsa,1998-09-26,27,Male,jchoudhary@example.net,6920370345,"08/23, Bora Zila, Ahmednagar 940755",2014-07-02,4145,VIP,0
87,87,QT0017,Varenya,Saran,1959-07-28,66,Male,azad72@example.net,6399583229,"982, Khalsa Street, Bathinda 126866",2005-03-25,7531,VIP,0
88,88,QT0024,Rajata,Reddy,1982-08-29,43,Male,samar58@example.org,6193111015,"77/48, Dara Zila, Bihar Sharif 463563",2013-06-08,4534,VIP,0
89,89,QT0023,Anjali,Bahl,1962-05-14,63,Female,tgala@example.com,9427544760,"03/095, Lad Marg, Agra 742247",2009-04-03,6061,VIP,0
90,90,QT0001,Riya,Tiwari,1991-01-04,34,Female,saibrahmbhatt@example.com,8006634550,"758, Kashyap Chowk, Sri Ganganagar-200555",2023-10-16,752,VIP,0
91,91,QT0004,Eiravati,Badal,1998-11-09,26,Female,brijesh77@example.com,7554357962,"915, Nadig Chowk, Hindupur-092190",2008-10-12,6234,VIP,0
92,92,QT0008,Karan,Rastogi,1955-09-19,70,Female,rajannikita@example.org,9620453345,"229, Parmar Zila, Berhampore-100387",2009-04-07,6057,VIP,0
93,93,QT0012,Qabil,Nagi,1985-06-03,40,Male,manyapandey@example.org,7382268909,"H.No. 921, Dhaliwal Zila, Nanded-048028",2008-04-02,6427,VIP,0
94,94,QT0011,Ria,Chahal,1964-07-21,61,Male,harinakshi52@example.org,9209830567,"745, Raju Circle, Tirunelveli-682970",2015-08-08,3743,VIP,0
95,95,QT0024,Samuel,Mohan,1992-11-05,33,Female,sbuch@example.com,6768333454,"26, Prasad Path, Jodhpur-818399",2005-06-03,7461,VIP,0
96,96,QT0011,Aarav,Mannan,1969-12-03,55,Female,ggole@example.net,9800705626,"H.No. 300, Chopra Path, Bettiah-261280",2011-06-23,5250,VIP,0
97,97,QT0003,Omaja,Wali,1981-04-22,44,Male,barmanvasudha@example.net,9104480130,"99, Lad Street, Bathinda 216290",2012-08-20,4826,VIP,0
98,98,QT0017,Kavya,Deshpande,1993-09-19,32,Male,kborah@example.com,6004219787,"H.No. 372, Mahajan Road, Ratlam-465660",2019-05-24,2358,VIP,0
99,99,QT0024,Siya,Kadakia,1968-04-26,57,Male,dchandra@example.com,9259675332,"06/666, Ramesh Street, Nandyal-732110",2020-07-15,1940,VIP,0
100,100,QT0004,Nitesh,More,1963-01-08,62,Male,yadavipandit@example.org,9665264474,"949, Bava Circle, Parbhani-162355",2024-04-07,578,Regular,0
101,101,QT0019,Faris,Sen,1994-01-08,31,Male,falannarayanan@example.org,9289315762,"H.No. 04, Wali Path, Gwalior 121868",2022-10-27,1106,VIP,0
102,102,QT0006,Jack,Kanda,1969-04-16,56,Male,ronith75@example.org,9057260569,"59/897, Hayer Nagar, Tirunelveli 561329",2024-01-29,647,Regular,0
103,103,QT0010,Ayushman,Hari,1974-08-23,51,Male,omishapant@example.org,9944436594,"H.No. 13, Sawhney Circle, Dehri 517040",2011-02-15,5378,VIP,0
104,104,QT0017,Yochana,Sampath,1980-02-28,45,Female,virajchowdhury@example.com,9893592958,"H.No. 14, Ganguly, Sagar-865837",2010-08-16,5561,VIP,0
105,105,QT0022,Varsha,Kar,1974-09-20,51,Female,kashish07@example.com,8919986296,"18, Purohit Street, Bokaro-232278",2012-02-12,5016,VIP,0
106,106,QT0006,Ati,Pant,1990-12-25,34,Male,zansi79@example.org,6042335301,"09/13, Issac, Guntur 269984",2022-01-03,1403,VIP,0
107,107,QT0003,Udarsh,Chaudhary,2004-07-20,21,Female,nattfrederick@example.net,7308700738,"H.No. 49, Kunda Zila, Mathura 592164",2024-04-24,561,Regular,0
108,108,QT0015,Bhavna,Kala,1991-04-22,34,Female,srajan@example.org,8090913765,"347, Yogi, Pimpri-Chinchwad-789136",2015-02-21,3911,VIP,0
109,109,QT0010,Shaurya,Nanda,1970-03-08,55,Male,devansh05@example.net,8345063158,"H.No. 19, Ahuja Zila, Berhampore-924492",2019-06-01,2350,VIP,0
110,110,QT0019,Zarna,Keer,1968-06-09,57,Female,chakradhar78@example.org,9517331750,"95/485, Raj Nagar, Hazaribagh 469915",2022-12-08,1064,VIP,0
111,111,QT0019,Panini,Dhawan,1962-02-10,63,Male,georgegoyal@example.com,6772780460,"H.No. 88, Ben Chowk, Haldia-474495",2018-09-09,2615,VIP,0
112,112,QT0005,Nihal,Bhalla,1954-01-05,71,Female,dhritichoudhry@example.net,7841263250,"69/76, Sha Chowk, Raichur-096142",2023-02-16,994,VIP,0
113,113,QT0012,Brijesh,Dixit,1987-02-15,38,Female,vkoshy@example.com,8184462202,"05, Garde Nagar, Jehanabad 106927",2009-07-08,5965,VIP,0
114,114,QT0010,Qasim,Deep,1968-11-09,56,Male,tamanna26@example.net,7438747285,"82, Tailor Marg, Hyderabad 660885",2019-04-06,2406,VIP,0
115,115,QT0008,Daksh,Yadav,1961-07-26,64,Female,rohan06@example.net,8070780293,"140, Nath Path, Kolkata-990114",2020-05-08,2008,VIP,0
116,116,QT0008,Pooja,Datta,1981-09-03,44,Male,qwagle@example.net,6247249895,"468, Aurora Road, Bareilly-617131",2016-03-02,3536,VIP,0
117,117,QT0012,Agastya,Nair,2005-02-15,20,Male,oni87@example.net,7071996713,"H.No. 32, Viswanathan Road, Jammu-814886",2024-02-03,642,Regular,0
118,118,QT0020,Qushi,Bhandari,1972-08-14,53,Male,qcheema@example.com,7453833608,"38, Mane Zila, Gorakhpur 392007",2009-02-03,6120,VIP,0
119,119,QT0007,Aarav,Bal,1981-12-17,43,Female,biswaskamya@example.org,9039708411,"49, Raval Marg, Bettiah-451591",2019-11-06,2192,VIP,0
120,120,QT0016,Jatin,Talwar,1996-02-19,29,Female,krishnagulati@example.net,8312243819,"59/805, Talwar Marg, Indore-737924",2019-10-21,2208,VIP,0
121,121,QT0008,Parth,Mangal,1983-12-23,41,Female,mukhopadhyayladli@example.com,9982013933,"H.No. 559, Sundaram Circle, Kavali-690949",2019-02-04,2467,VIP,0
122,122,QT0022,Nathaniel,Aurora,1969-03-26,56,Female,korpalkrish@example.org,9490653303,"141, Kari Nagar, Nagpur 552218",2011-11-15,5105,VIP,0
123,123,QT0007,Jacob,Pillay,1963-01-23,62,Male,lajitabaral@example.org,8069662302,"935, Narayanan Nagar, Vasai-Virar 700105",2009-12-26,5794,VIP,0
124,124,QT0014,Oni,Hegde,1962-11-17,62,Female,battayahvi@example.com,7789869408,"H.No. 05, Ratta Chowk, Tinsukia 261959",2007-01-11,6874,VIP,0
125,125,QT0012,Luke,Bhandari,1950-05-25,75,Female,qasimvirk@example.org,7478669342,"88/553, Deshpande Zila, Rampur-437800",2012-01-06,5053,VIP,0
126,126,QT0014,Aishani,Mishra,1991-06-23,34,Female,aadi88@example.org,7703595807,"H.No. 59, Lal Nagar, Maheshtala 963827",2020-09-15,1878,VIP,0
127,127,QT0008,Krish,Sant,1991-02-22,34,Female,libni27@example.org,7533616019,"45/49, Babu Circle, Aizawl-458261",2005-09-05,7367,VIP,0
128,128,QT0004,Wishi,Bhavsar,1956-09-29,69,Female,lucky60@example.org,9081979090,"68, Bala Path, Rohtak-811346",2021-09-10,1518,VIP,0
129,129,QT0014,Jalsa,Thakur,1970-05-16,55,Male,dayamai57@example.com,8334886591,"55/42, Konda Nagar, Haridwar 586396",2008-01-31,6489,VIP,0
130,130,QT0001,Siddharth,Tiwari,1991-04-01,34,Female,lsur@example.org,6061999572,"H.No. 142, Chopra Ganj, Tirunelveli 702801",2010-02-16,5742,VIP,0
131,131,QT0013,Hemangini,Vaidya,1994-07-27,31,Male,halderadvay@example.org,6410184196,"89/784, Prashad Ganj, Belgaum-711843",2011-09-28,5153,VIP,0
132,132,QT0003,Ekanta,Minhas,1968-04-03,57,Female,harshil69@example.com,9144149234,"99/68, Buch Street, Katni 798920",2022-12-18,1054,VIP,0
133,133,QT0005,Pranit,Narayan,1961-08-04,64,Male,yashoda67@example.org,7378708960,"H.No. 716, Dewan Circle, Kozhikode-032718",2018-01-20,2847,VIP,0
134,134,QT0013,Arya,Dewan,1964-07-18,61,Male,kotavictor@example.org,9297629450,"H.No. 946, Dubey Path, Berhampore 387358",2021-12-18,1419,VIP,0
135,135,QT0024,Girish,Khosla,1997-06-18,28,Female,mekhalasibal@example.com,6331200251,"H.No. 59, Desai Zila, Thanjavur-568285",2008-12-24,6161,VIP,0
136,136,QT0014,Eiravati,Jaggi,2005-07-11,20,Male,ekavirandra@example.net,6249182959,"16/13, Sabharwal Ganj, Nagercoil-031226",2020-08-13,1911,VIP,0
137,137,QT0004,Hardik,Sarin,1994-02-23,31,Male,nathekaja@example.com,7842640179,"59/13, Wason Nagar, Gorakhpur 218589",2012-03-06,4993,VIP,0
138,138,QT0007,Upma,Pal,2001-09-29,24,Male,geetikabala@example.org,8598978694,"H.No. 49, Rana Road, Rewa 983656",2022-06-01,1254,VIP,0
139,139,QT0007,Tanish,Thaman,1996-08-17,29,Male,saibrahmbhatt@example.org,7738443743,"H.No. 872, Patil Road, Ulhasnagar-030614",2015-06-29,3783,VIP,0
140,140,QT0015,Aarush,Palan,1952-05-20,73,Male,balakrishnantristan@example.net,9317369939,"H.No. 596, Ratti Marg, Adoni 012481",2018-05-01,2746,VIP,0
141,141,QT0019,Jyoti,Dutta,1999-11-23,25,Female,warriorosha@example.net,9242265927,"485, Khanna Street, Ballia 895073",2006-09-25,6982,VIP,0
142,142,QT0008,Gayathri,Divan,1992-06-24,33,Female,kdivan@example.net,8312584821,"H.No. 82, Salvi Zila, Miryalaguda 682642",2007-02-05,6849,VIP,0
143,143,QT0012,Yug,Datta,1986-07-07,39,Female,rachitatripathi@example.net,9062853837,"H.No. 510, Bains Nagar, Anantapuram-384991",2021-07-22,1568,VIP,0
144,144,QT0020,Shivani,Sachar,2005-07-06,20,Female,ikshita77@example.com,9485699663,"15/50, Arora Road, Kumbakonam 715895",2012-12-09,4715,VIP,0
145,145,QT0015,Devika,Rastogi,2005-03-12,20,Male,chameli70@example.org,6611962933,"H.No. 876, Savant Path, Mahbubnagar-790414",2007-01-04,6881,VIP,0
146,146,QT0022,Amruta,Kunda,1959-08-25,66,Male,mnaidu@example.org,8323467633,"H.No. 300, Wable, Silchar-788417",2018-08-18,2637,VIP,0
147,147,QT0017,Upadhriti,Sarraf,1991-10-18,34,Male,saanvikonda@example.net,8036917624,"H.No. 61, Bhavsar Ganj, Allahabad-674211",2014-01-21,4307,VIP,0
148,148,QT0009,Varsha,Raja,1951-07-22,74,Female,rattikrisha@example.com,7853813663,"H.No. 26, Soni Marg, Aurangabad-519390",2006-10-22,6955,VIP,0
149,149,QT0013,Dominic,Keer,1993-04-27,32,Male,gkhare@example.net,6201100948,"54/09, Apte Road, Phagwara 187242",2009-03-23,6072,VIP,0
150,150,QT0008,Bishakha,Khurana,1990-09-17,35,Male,liampatla@example.net,7781687184,"37/30, Bhat, Lucknow-680639",2010-04-21,5678,VIP,0
151,151,QT0003,Onkar,Sama,1950-07-22,75,Male,amrita27@example.net,7145411053,"H.No. 810, Keer Marg, Nagercoil 749392",2018-09-25,2599,VIP,0
152,152,QT0023,Anvi,Verma,1979-06-11,46,Male,ekavir91@example.com,6540773699,"21/94, Choudhury Path, Gwalior-858384",2018-02-10,2826,VIP,0
153,153,QT0024,Imaran,Goel,1955-05-29,70,Female,ikbal32@example.org,7668401764,"820, Jha Street, Karaikudi 974743",2016-02-24,3543,VIP,0
154,154,QT0022,Nicholas,Chander,1995-02-18,30,Female,mugdha33@example.net,9709200627,"27, Bhagat Marg, Korba-547009",2015-04-19,3854,VIP,0
155,155,QT0014,Faras,Iyer,1961-07-08,64,Male,amrutasagar@example.org,6487987756,"H.No. 343, Chatterjee Chowk, Gwalior-486518",2022-12-25,1047,VIP,0
156,156,QT0019,Aachal,Yogi,1951-09-11,74,Male,lbalasubramanian@example.com,6796153055,"73/357, Chand Circle, Unnao-627815",2010-07-23,5585,VIP,0
157,157,QT0023,Lucky,Kade,1994-05-24,31,Male,ishwar66@example.org,6102634150,"017, Pal Marg, Davanagere-785007",2006-12-07,6909,VIP,0
158,158,QT0017,Yatin,Tara,1998-05-27,27,Male,anika98@example.com,9664996771,"262, Bera, Bhopal 127738",2021-06-07,1613,VIP,0
159,159,QT0001,Krishna,Aggarwal,2006-05-02,19,Female,mukhopadhyayvanya@example.net,9831744022,"036, Ray Zila, Bhilwara-285005",2012-07-23,4854,VIP,0
160,160,QT0008,Vansha,Pandey,1959-09-14,66,Male,nakulrajagopal@example.com,7472123926,"H.No. 69, Ganesh Road, Shahjahanpur 832990",2020-11-28,1804,VIP,0
161,161,QT0010,Aarav,Boase,1956-03-02,69,Female,neel77@example.net,9527904445,"H.No. 15, Sawhney Zila, Kollam 199780",2024-03-15,601,Regular,0
162,162,QT0009,Triveni,Madan,1997-07-18,28,Male,onkarvarghese@example.net,7391343905,"59/84, Pal Circle, Coimbatore-851488",2008-07-02,6336,VIP,0
163,163,QT0013,Ridhi,Chauhan,1989-03-16,36,Male,mohammedshere@example.com,7671138884,"02/385, Majumdar, Dhule-938065",2008-06-06,6362,VIP,0
